"","Suburb - Incident","sum(`Offence count`)"
"1","ABERFOYLE PARK",350
"2","ADELAIDE",7907
"3","ADELAIDE AIRPORT",192
"4","ALBERT PARK",98
"5","ALBERTON",256
"6","ALBION PARK RAIL",1
"7","ALDGATE",60
"8","ALDINGA",119
"9","ALDINGA BEACH",427
"10","ALEXANDRIA",1
"11","ALFORD",3
"12","ALICE SPRINGS",1
"13","ALLENBY GARDENS",96
"14","ALLENDALE EAST",7
"15","ALTONA",1
"16","ALTONA MEADOWS",1
"17","AMATA",156
"18","AMERICAN RIVER",3
"19","ANANGU PITJANTJATJARA YANKUNYTJATJARA",17
"20","ANDAMOOKA",6
"21","ANDREWS",2
"22","ANDREWS FARM",385
"23","ANGAS PLAINS",1
"24","ANGASTON",36
"25","ANGLE PARK",249
"26","ANGLE VALE",470
"27","ANNA BAY",1
"28","ANNADALE",1
"29","APOLLO BAY",1
"30","APPILA",5
"31","APY LANDS",1
"32","ARALUEN",1
"33","ARARAT",3
"34","ARDROSSAN",36
"35","ARMAGH",4
"36","ARNO BAY",4
"37","ARTHURTON",2
"38","ASCOT PARK",261
"39","ASHBOURNE",2
"40","ASHFORD",71
"41","ASHTON",11
"42","ATHELSTONE",128
"43","ATHOL PARK",156
"44","AUBURN",4
"45","AULDANA",20
"46","AVENUE RANGE",1
"47","AVOCA DELL",3
"48","BACK VALLEY",8
"49","BAGOT WELL",4
"50","BALAKLAVA",45
"51","BALD HILLS",1
"52","BALDINA",5
"53","BALGOWAN",1
"54","BALHANNAH",32
"55","BANGHAM",1
"56","BANKSIA PARK",49
"57","BARMERA",154
"58","BAROOTA",2
"59","BAROSSA",1
"60","BAROSSA GOLDFIELDS",3
"61","BASKET RANGE",7
"62","BAUDIN BEACH",4
"63","BEACHPORT",32
"64","BEATTY",1
"65","BEAUFORT",2
"66","BEAUMONT",73
"67","BEDFORD PARK",152
"68","BELAIR",104
"69","BELLEVUE HEIGHTS",28
"70","BELTANA",1
"71","BERRI",375
"72","BETHANY",2
"73","BETHEL",3
"74","BEULAH PARK",32
"75","BEVERLEY",142
"76","BIBARINGA",7
"77","BIG BEND",1
"78","BINNUM",1
"79","BIRDWOOD",35
"80","BIRKENHEAD",107
"81","BLACK FOREST",84
"82","BLACK POINT",2
"83","BLACK SPRINGS",1
"84","BLACKFELLOWS CAVES",1
"85","BLACKFORD",2
"86","BLACKWOOD",132
"87","BLAIR ATHOL",809
"88","BLAKEVIEW",535
"89","BLAKISTON",8
"90","BLANCHETOWN",15
"91","BLEWITT SPRINGS",10
"92","BLYTH",6
"93","BOATSWAIN POINT",2
"94","BOLIVAR",363
"95","BONDI",1
"96","BOOBOROWIE",4
"97","BOOKABIE",4
"98","BOOKPURNONG",4
"99","BOOL LAGOON",1
"100","BOOLEROO CENTRE",13
"101","BOONERDO",1
"102","BOORS PLAIN",4
"103","BORDERTOWN",110
"104","BORRIKA",2
"105","BOSTON",6
"106","BOWDEN",218
"107","BOWER",4
"108","BOWHILL",2
"109","BOWILLIA",1
"110","BOWMANS",12
"111","BRADBURY",5
"112","BRAHMA LODGE",208
"113","BRAMFIELD",3
"114","BRAY",1
"115","BRENTWOOD",1
"116","BRIDGEMAN DOWNS",1
"117","BRIDGEWATER",40
"118","BRIGHT",4
"119","BRIGHTON",373
"120","BRINKLEY",2
"121","BRINKWORTH",8
"122","BROADVIEW",260
"123","BROADWAY",1
"124","BROKEN HILL",1
"125","BROMPTON",525
